wave,variable,estimate,lci,uci,type,est_ci,n
11,rxchf,4.1,3.4,4.8,Proportion,"4.1 (3.4, 4.8)",4470
11,rxhrtat,3.1,2.4,3.9,Proportion,"3.1 (2.4, 3.9)",4470
11,rxheart,24.2,22.6,25.8,Proportion,"24.2 (22.6, 25.8)",4470
11,race_black,14.2,12.4,16.2,Proportion,"14.2 (12.4, 16.2)",4470
11,race_hispanic,9.3,8,10.8,Proportion,"9.3 (8, 10.8)",4470
12,medication_bp,75.3,73.6,76.9,Proportion,"75.3 (73.6, 76.9)",4375
12,medication_dm,78,76.5,79.5,Proportion,"78 (76.5, 79.5)",4375
12,rxhchol,67.5,65.6,69.4,Proportion,"67.5 (65.6, 69.4)",4375
12,rxstrok,4,3.4,4.8,Proportion,"4 (3.4, 4.8)",4375
12,rxangina,3.3,2.7,4,Proportion,"3.3 (2.7, 4)",4375
12,rxchf,5.1,4.4,5.9,Proportion,"5.1 (4.4, 5.9)",4375
12,rxhrtat,2.9,2.3,3.7,Proportion,"2.9 (2.3, 3.7)",4375
12,rxheart,23.3,21.6,25.2,Proportion,"23.3 (21.6, 25.2)",4375
12,race_black,14.4,12.6,16.3,Proportion,"14.4 (12.6, 16.3)",4375
12,race_hispanic,9.6,8.2,11.3,Proportion,"9.6 (8.2, 11.3)",4375
13,medication_bp,71.3,69.4,73.2,Proportion,"71.3 (69.4, 73.2)",5259
13,medication_dm,75.2,73.3,76.9,Proportion,"75.2 (73.3, 76.9)",5259
13,rxhchol,66,64.1,67.7,Proportion,"66 (64.1, 67.7)",5259
13,rxstrok,3.5,2.8,4.4,Proportion,"3.5 (2.8, 4.4)",5259
13,rxangina,4.5,3.8,5.2,Proportion,"4.5 (3.8, 5.2)",5259
13,rxchf,4.9,4.3,5.7,Proportion,"4.9 (4.3, 5.7)",5259
13,rxhrtat,2.6,2.1,3.2,Proportion,"2.6 (2.1, 3.2)",5259
13,rxheart,21.9,20.3,23.7,Proportion,"21.9 (20.3, 23.7)",5259
13,race_black,14.9,13.4,16.7,Proportion,"14.9 (13.4, 16.7)",5259
13,race_hispanic,13.2,11.6,15,Proportion,"13.2 (11.6, 15)",5259
