variable,estimate,lci,uci,type,group,est_ci,gender
age_category,6.3,5.3,7.5,Grouped,85_over,"6.3 (5.3, 7.5)",Total
bmi_category,0.3,0.1,0.6,Grouped,Underweight,"0.3 (0.1, 0.6)",Total
bmi_category,10.9,9.5,12.5,Grouped,Normal,"10.9 (9.5, 12.5)",Total
bmi_category,30.1,27.7,32.6,Grouped,Overweight,"30.1 (27.7, 32.6)",Total
bmi_category,58.7,56.5,60.8,Grouped,Obese,"58.7 (56.5, 60.8)",Total
education_h,23.2,20.8,25.8,Grouped,Less than lower secondary,"23.2 (20.8, 25.8)",Total
education_h,19.4,17.3,21.7,Grouped,Tertiary,"19.4 (17.3, 21.7)",Total
education_h,57.4,54.9,59.9,Grouped,Upper secondary and vocational training,"57.4 (54.9, 59.9)",Total
hh_wealthquintile,22.9,20.7,25.4,Grouped,Lowest,"22.9 (20.7, 25.4)",Total
hh_wealthquintile,24.6,21.8,27.6,Grouped,Low,"24.6 (21.8, 27.6)",Total
hh_wealthquintile,19.9,18,21.9,Grouped,Medium,"19.9 (18, 21.9)",Total
hh_wealthquintile,17.4,15.7,19.4,Grouped,High,"17.4 (15.7, 19.4)",Total
hh_wealthquintile,15.1,13.1,17.4,Grouped,Highest,"15.1 (13.1, 17.4)",Total
smoke,42.6,40.2,45.1,Grouped,Never,"42.6 (40.2, 45.1)",Total
smoke,48.8,46.3,51.3,Grouped,Former,"48.8 (46.3, 51.3)",Total
smoke,8.5,7.1,10.2,Grouped,Current,"8.5 (7.1, 10.2)",Total
laborforce,10.6,9.2,12.3,Grouped,employed,"10.6 (9.2, 12.3)",Total
laborforce,6.8,5.6,8.3,Grouped,other,"6.8 (5.6, 8.3)",Total
laborforce,82.6,80.6,84.4,Grouped,retired,"82.6 (80.6, 84.4)",Total
raceeth,10.6,7.9,14.1,Grouped,Hispanic,"10.6 (7.9, 14.1)",Total
raceeth,12.4,11,13.8,Grouped,NH Black,"12.4 (11, 13.8)",Total
raceeth,3.1,2.2,4.4,Grouped,NH Other,"3.1 (2.2, 4.4)",Total
raceeth,74,70,77.5,Grouped,NH White,"74 (70, 77.5)",Total
race,81.6,79.4,83.6,Grouped,1,"81.6 (79.4, 83.6)",Total
race,12.5,11.2,14,Grouped,2,"12.5 (11.2, 14)",Total
race,5.9,4.6,7.4,Grouped,3,"5.9 (4.6, 7.4)",Total
ethnicity,89.4,85.9,92.1,Grouped,0,"89.4 (85.9, 92.1)",Total
ethnicity,10.6,7.9,14.1,Grouped,1,"10.6 (7.9, 14.1)",Total
age,72.4,72.1,72.8,Continuous,NA,"72.4 (72.1, 72.8)",Female
hh_size,2.1,2,2.2,Continuous,NA,"2.1 (2, 2.2)",Female
hh_children,3.4,3.2,3.5,Continuous,NA,"3.4 (3.2, 3.5)",Female
lengthmar,42.4,41,43.8,Continuous,NA,"42.4 (41, 43.8)",Female
bmi,32.2,31.8,32.6,Continuous,NA,"32.2 (31.8, 32.6)",Female
height,1.6,1.6,1.6,Continuous,NA,"1.6 (1.6, 1.6)",Female
weight,81,79.9,82.1,Continuous,NA,"81 (79.9, 82.1)",Female
waistcircumference,106.5,105.5,107.6,Continuous,NA,"106.5 (105.5, 107.6)",Female
adl_some6,0.6,0.5,0.7,Continuous,NA,"0.6 (0.5, 0.7)",Female
iadl_some4,0.4,0.3,0.4,Continuous,NA,"0.4 (0.3, 0.4)",Female
a1c_adj,6.7,6.6,6.8,Continuous,NA,"6.7 (6.6, 6.8)",Female
sbp,132.3,131.2,133.4,Continuous,NA,"132.3 (131.2, 133.4)",Female
dbp,77,76.3,77.8,Continuous,NA,"77 (76.3, 77.8)",Female
tc_adj,185.9,183.1,188.8,Continuous,NA,"185.9 (183.1, 188.8)",Female
hdl_adj,52.9,51.7,54,Continuous,NA,"52.9 (51.7, 54)",Female
nfalls,1.2,1,1.3,Continuous,NA,"1.2 (1, 1.3)",Female
fu_nfalls,1.3,1.1,1.4,Continuous,NA,"1.3 (1.1, 1.4)",Female
agediagnosed_dm,62.6,61.8,63.3,Continuous,NA,"62.6 (61.8, 63.3)",Female
moderate_pa,1.8,1.7,1.9,Continuous,NA,"1.8 (1.7, 1.9)",Female
vigorous_pa,0.6,0.5,0.7,Continuous,NA,"0.6 (0.5, 0.7)",Female
polypharmacy,3.6,3.5,3.7,Continuous,NA,"3.6 (3.5, 3.7)",Female
age,71.9,71.5,72.3,Continuous,NA,"71.9 (71.5, 72.3)",Male
hh_size,2.2,2.2,2.3,Continuous,NA,"2.2 (2.2, 2.3)",Male
hh_children,3.3,3.2,3.5,Continuous,NA,"3.3 (3.2, 3.5)",Male
lengthmar,39.7,38.4,40.9,Continuous,NA,"39.7 (38.4, 40.9)",Male
bmi,31.2,30.9,31.5,Continuous,NA,"31.2 (30.9, 31.5)",Male
height,1.7,1.7,1.7,Continuous,NA,"1.7 (1.7, 1.7)",Male
weight,94,93,95,Continuous,NA,"94 (93, 95)",Male
waistcircumference,110.8,109.9,111.8,Continuous,NA,"110.8 (109.9, 111.8)",Male
adl_some6,0.4,0.3,0.4,Continuous,NA,"0.4 (0.3, 0.4)",Male
iadl_some4,0.2,0.2,0.3,Continuous,NA,"0.2 (0.2, 0.3)",Male
a1c_adj,6.8,6.7,6.9,Continuous,NA,"6.8 (6.7, 6.9)",Male
sbp,132.9,131.7,134,Continuous,NA,"132.9 (131.7, 134)",Male
dbp,76.1,75.3,76.8,Continuous,NA,"76.1 (75.3, 76.8)",Male
tc_adj,179,176.3,181.8,Continuous,NA,"179 (176.3, 181.8)",Male
hdl_adj,47.5,46.4,48.7,Continuous,NA,"47.5 (46.4, 48.7)",Male
nfalls,1.3,1.1,1.5,Continuous,NA,"1.3 (1.1, 1.5)",Male
fu_nfalls,1.6,1.3,1.8,Continuous,NA,"1.6 (1.3, 1.8)",Male
agediagnosed_dm,62,61.3,62.7,Continuous,NA,"62 (61.3, 62.7)",Male
moderate_pa,2.2,2.1,2.3,Continuous,NA,"2.2 (2.1, 2.3)",Male
vigorous_pa,1,0.9,1.1,Continuous,NA,"1 (0.9, 1.1)",Male
polypharmacy,3.5,3.3,3.6,Continuous,NA,"3.5 (3.3, 3.6)",Male
medication_bp,80.4,78,82.7,Proportion,NA,"80.4 (78, 82.7)",Female
medication_dm,77.3,75,79.5,Proportion,NA,"77.3 (75, 79.5)",Female
rxdiabi,18.8,16.3,21.5,Proportion,NA,"18.8 (16.3, 21.5)",Female
rxdiabo,69,66.1,71.8,Proportion,NA,"69 (66.1, 71.8)",Female
rxstrok,3.2,2.2,4.6,Proportion,NA,"3.2 (2.2, 4.6)",Female
rxangina,4.1,3.1,5.3,Proportion,NA,"4.1 (3.1, 5.3)",Female
rxchf,4.9,3.9,6.1,Proportion,NA,"4.9 (3.9, 6.1)",Female
rxarthr,34.9,31.9,38.1,Proportion,NA,"34.9 (31.9, 38.1)",Female
rxlung,10.4,8.5,12.7,Proportion,NA,"10.4 (8.5, 12.7)",Female
rxpsych,18.5,16.2,21.1,Proportion,NA,"18.5 (16.2, 21.1)",Female
rxcancr,0.6,0.3,1.2,Proportion,NA,"0.6 (0.3, 1.2)",Female
rxhrtat,2.7,1.9,3.7,Proportion,NA,"2.7 (1.9, 3.7)",Female
rxheart,22.2,19.7,24.9,Proportion,NA,"22.2 (19.7, 24.9)",Female
diagnosed_bp,81.9,79.6,83.9,Proportion,NA,"81.9 (79.6, 83.9)",Female
htn,86.2,84,88.2,Proportion,NA,"86.2 (84, 88.2)",Female
alzh_demen,2.3,1.4,3.6,Proportion,NA,"2.3 (1.4, 3.6)",Female
bmi_underweight,0.5,0.2,1.2,Proportion,NA,"0.5 (0.2, 1.2)",Female
bmi_overweight,27.8,25.1,30.7,Proportion,NA,"27.8 (25.1, 30.7)",Female
bmi_obese,59.5,56.4,62.4,Proportion,NA,"59.5 (56.4, 62.4)",Female
fall_any,41.3,38.4,44.3,Proportion,NA,"41.3 (38.4, 44.3)",Female
fall_injury,34.6,29.5,40.1,Proportion,NA,"34.6 (29.5, 40.1)",Female
fracture_hip,2.8,2,3.8,Proportion,NA,"2.8 (2, 3.8)",Female
fu_fall_any,40.8,37.6,44.1,Proportion,NA,"40.8 (37.6, 44.1)",Female
fu_fall_injury,37.6,33.3,42.1,Proportion,NA,"37.6 (33.3, 42.1)",Female
fu_fracture_hip,3.5,2.7,4.5,Proportion,NA,"3.5 (2.7, 4.5)",Female
heavydrinker,4.7,3.5,6.2,Proportion,NA,"4.7 (3.5, 6.2)",Female
vision_impairment,12.6,10.6,14.9,Proportion,NA,"12.6 (10.6, 14.9)",Female
balance_impairment,37,33.7,40.3,Proportion,NA,"37 (33.7, 40.3)",Female
married,45.6,42.7,48.5,Proportion,NA,"45.6 (42.7, 48.5)",Female
medication_bp,73,69,76.6,Proportion,NA,"73 (69, 76.6)",Male
medication_dm,82.7,79.5,85.4,Proportion,NA,"82.7 (79.5, 85.4)",Male
rxdiabi,18.4,15.8,21.5,Proportion,NA,"18.4 (15.8, 21.5)",Male
rxdiabo,76.7,73.3,79.7,Proportion,NA,"76.7 (73.3, 79.7)",Male
rxstrok,4.2,3.1,5.7,Proportion,NA,"4.2 (3.1, 5.7)",Male
rxangina,5.8,4.4,7.6,Proportion,NA,"5.8 (4.4, 7.6)",Male
rxchf,5.4,4.1,7.2,Proportion,NA,"5.4 (4.1, 7.2)",Male
rxarthr,23.4,20.4,26.7,Proportion,NA,"23.4 (20.4, 26.7)",Male
rxlung,4.7,3.5,6.3,Proportion,NA,"4.7 (3.5, 6.3)",Male
rxpsych,8.4,6.6,10.7,Proportion,NA,"8.4 (6.6, 10.7)",Male
rxcancr,0.8,0.4,1.6,Proportion,NA,"0.8 (0.4, 1.6)",Male
rxhrtat,2.8,1.9,4.2,Proportion,NA,"2.8 (1.9, 4.2)",Male
rxheart,29.4,25.7,33.4,Proportion,NA,"29.4 (25.7, 33.4)",Male
diagnosed_bp,75.9,72.2,79.3,Proportion,NA,"75.9 (72.2, 79.3)",Male
htn,82.3,79.2,85.1,Proportion,NA,"82.3 (79.2, 85.1)",Male
alzh_demen,2,1.2,3.1,Proportion,NA,"2 (1.2, 3.1)",Male
bmi_underweight,0,0,0.2,Proportion,NA,"0 (0, 0.2)",Male
bmi_overweight,32.7,29.6,35.9,Proportion,NA,"32.7 (29.6, 35.9)",Male
bmi_obese,57.8,55.1,60.5,Proportion,NA,"57.8 (55.1, 60.5)",Male
fall_any,38.3,35.4,41.2,Proportion,NA,"38.3 (35.4, 41.2)",Male
fall_injury,19.6,16.3,23.5,Proportion,NA,"19.6 (16.3, 23.5)",Male
fracture_hip,1.6,0.9,2.6,Proportion,NA,"1.6 (0.9, 2.6)",Male
fu_fall_any,37.4,34.3,40.6,Proportion,NA,"37.4 (34.3, 40.6)",Male
fu_fall_injury,23.3,18.6,28.7,Proportion,NA,"23.3 (18.6, 28.7)",Male
fu_fracture_hip,2.1,1.4,3.2,Proportion,NA,"2.1 (1.4, 3.2)",Male
heavydrinker,8.8,7.2,10.9,Proportion,NA,"8.8 (7.2, 10.9)",Male
vision_impairment,9.5,7.6,11.9,Proportion,NA,"9.5 (7.6, 11.9)",Male
balance_impairment,41.1,37.8,44.6,Proportion,NA,"41.1 (37.8, 44.6)",Male
married,75.3,72.2,78,Proportion,NA,"75.3 (72.2, 78)",Male
age_category,67.3,64.6,69.9,Grouped,65_74,"67.3 (64.6, 69.9)",Female
age_category,25.4,22.8,28.2,Grouped,75_84,"25.4 (22.8, 28.2)",Female
age_category,7.3,5.9,8.9,Grouped,85_over,"7.3 (5.9, 8.9)",Female
age_category,69.2,66.2,72,Grouped,65_74,"69.2 (66.2, 72)",Male
age_category,25.6,23,28.4,Grouped,75_84,"25.6 (23, 28.4)",Male
age_category,5.2,4,6.9,Grouped,85_over,"5.2 (4, 6.9)",Male
bmi_category,0.5,0.2,1.2,Grouped,Underweight,"0.5 (0.2, 1.2)",Female
bmi_category,12.2,10.2,14.6,Grouped,Normal,"12.2 (10.2, 14.6)",Female
bmi_category,27.8,25.1,30.7,Grouped,Overweight,"27.8 (25.1, 30.7)",Female
bmi_category,59.5,56.4,62.4,Grouped,Obese,"59.5 (56.4, 62.4)",Female
bmi_category,0,0,0.2,Grouped,Underweight,"0 (0, 0.2)",Male
bmi_category,9.5,7.9,11.4,Grouped,Normal,"9.5 (7.9, 11.4)",Male
bmi_category,32.7,29.6,35.9,Grouped,Overweight,"32.7 (29.6, 35.9)",Male
bmi_category,57.8,55.1,60.5,Grouped,Obese,"57.8 (55.1, 60.5)",Male
education_h,26.9,23.8,30.2,Grouped,Less than lower secondary,"26.9 (23.8, 30.2)",Female
education_h,13.2,10.9,16,Grouped,Tertiary,"13.2 (10.9, 16)",Female
education_h,59.9,56.3,63.4,Grouped,Upper secondary and vocational training,"59.9 (56.3, 63.4)",Female
education_h,19.1,16.8,21.7,Grouped,Less than lower secondary,"19.1 (16.8, 21.7)",Male
education_h,26.2,23.2,29.4,Grouped,Tertiary,"26.2 (23.2, 29.4)",Male
education_h,54.7,51.8,57.5,Grouped,Upper secondary and vocational training,"54.7 (51.8, 57.5)",Male
hh_wealthquintile,29.9,26.3,33.7,Grouped,Lowest,"29.9 (26.3, 33.7)",Female
hh_wealthquintile,24.9,21.4,28.8,Grouped,Low,"24.9 (21.4, 28.8)",Female
hh_wealthquintile,19.9,16.9,23.3,Grouped,Medium,"19.9 (16.9, 23.3)",Female
hh_wealthquintile,14,11.6,16.8,Grouped,High,"14 (11.6, 16.8)",Female
hh_wealthquintile,11.3,9.1,13.8,Grouped,Highest,"11.3 (9.1, 13.8)",Female
hh_wealthquintile,17,14.7,19.6,Grouped,Lowest,"17 (14.7, 19.6)",Male
hh_wealthquintile,24.4,21.1,27.9,Grouped,Low,"24.4 (21.1, 27.9)",Male
hh_wealthquintile,19.8,17.3,22.7,Grouped,Medium,"19.8 (17.3, 22.7)",Male
hh_wealthquintile,20.3,17.9,23,Grouped,High,"20.3 (17.9, 23)",Male
hh_wealthquintile,18.4,15.5,21.8,Grouped,Highest,"18.4 (15.5, 21.8)",Male
smoke,52.5,49.4,55.7,Grouped,Never,"52.5 (49.4, 55.7)",Female
smoke,38.7,36,41.5,Grouped,Former,"38.7 (36, 41.5)",Female
smoke,8.7,7.1,10.7,Grouped,Current,"8.7 (7.1, 10.7)",Female
smoke,31.7,29,34.6,Grouped,Never,"31.7 (29, 34.6)",Male
smoke,59.9,56.5,63.3,Grouped,Former,"59.9 (56.5, 63.3)",Male
smoke,8.3,6.6,10.6,Grouped,Current,"8.3 (6.6, 10.6)",Male
laborforce,6.9,5.5,8.5,Grouped,employed,"6.9 (5.5, 8.5)",Female
laborforce,11.3,9.1,13.9,Grouped,other,"11.3 (9.1, 13.9)",Female
laborforce,81.9,78.8,84.6,Grouped,retired,"81.9 (78.8, 84.6)",Female
laborforce,14.7,12.2,17.8,Grouped,employed,"14.7 (12.2, 17.8)",Male
laborforce,1.9,1.2,3,Grouped,other,"1.9 (1.2, 3)",Male
laborforce,83.3,80.5,85.8,Grouped,retired,"83.3 (80.5, 85.8)",Male
raceeth,12.8,9.6,16.8,Grouped,Hispanic,"12.8 (9.6, 16.8)",Female
raceeth,14.9,13.3,16.6,Grouped,NH Black,"14.9 (13.3, 16.6)",Female
raceeth,3.1,2,4.8,Grouped,NH Other,"3.1 (2, 4.8)",Female
raceeth,69.3,65.2,73,Grouped,NH White,"69.3 (65.2, 73)",Female
raceeth,8.2,5.7,11.7,Grouped,Hispanic,"8.2 (5.7, 11.7)",Male
raceeth,9.6,7.9,11.5,Grouped,NH Black,"9.6 (7.9, 11.5)",Male
raceeth,3.1,2,4.7,Grouped,NH Other,"3.1 (2, 4.7)",Male
raceeth,79.1,75,82.8,Grouped,NH White,"79.1 (75, 82.8)",Male
race,78.3,75.6,80.7,Grouped,1,"78.3 (75.6, 80.7)",Female
race,15.1,13.4,16.9,Grouped,2,"15.1 (13.4, 16.9)",Female
race,6.7,5.1,8.7,Grouped,3,"6.7 (5.1, 8.7)",Female
race,85.4,82.7,87.7,Grouped,1,"85.4 (82.7, 87.7)",Male
race,9.6,8,11.6,Grouped,2,"9.6 (8, 11.6)",Male
race,5,3.6,6.9,Grouped,3,"5 (3.6, 6.9)",Male
ethnicity,87.2,83.2,90.4,Grouped,0,"87.2 (83.2, 90.4)",Female
ethnicity,12.8,9.6,16.8,Grouped,1,"12.8 (9.6, 16.8)",Female
ethnicity,91.8,88.3,94.3,Grouped,0,"91.8 (88.3, 94.3)",Male
ethnicity,8.2,5.7,11.7,Grouped,1,"8.2 (5.7, 11.7)",Male
