variable,estimate,lci,uci,type,group,est_ci,gender
sbp,135.4,129.2,141.6,Continuous,NA,"135.4 (129.2, 141.6)",Male
dbp,65,61.7,68.2,Continuous,NA,"65 (61.7, 68.2)",Male
hdl,45.3,42.8,47.9,Continuous,NA,"45.3 (42.8, 47.9)",Male
trig,181.7,154.7,208.7,Continuous,NA,"181.7 (154.7, 208.7)",Male
ldl,84,76.5,91.4,Continuous,NA,"84 (76.5, 91.4)",Male
chol,163,153.3,172.6,Continuous,NA,"163 (153.3, 172.6)",Male
nfalls,0.7,0.2,1.2,Continuous,NA,"0.7 (0.2, 1.2)",Male
fu_nfalls,0,0,0,Continuous,NA,"0 (0, 0)",Male
moderate_pa,0.3,0.2,0.4,Continuous,NA,"0.3 (0.2, 0.4)",Male
vigorous_pa,0.1,0,0.1,Continuous,NA,"0.1 (0, 0.1)",Male
polypharmacy,2.3,1.8,2.7,Continuous,NA,"2.3 (1.8, 2.7)",Male
medication_bp,50.9,30.8,70.6,Proportion,NA,"50.9 (30.8, 70.6)",Female
medication_dm,77.2,58.1,89.2,Proportion,NA,"77.2 (58.1, 89.2)",Female
rxdiabi,16.8,7.5,33.7,Proportion,NA,"16.8 (7.5, 33.7)",Female
rxdiabo,74.1,54.9,87,Proportion,NA,"74.1 (54.9, 87)",Female
rxlung,2.9,0.7,10.7,Proportion,NA,"2.9 (0.7, 10.7)",Female
rxasthma,15.6,6.9,31.7,Proportion,NA,"15.6 (6.9, 31.7)",Female
rxcancr,0.6,0,9.2,Proportion,NA,"0.6 (0, 9.2)",Female
rxbldthn,16.4,7.7,31.7,Proportion,NA,"16.4 (7.7, 31.7)",Female
rxhchol,39.7,20.9,62.1,Proportion,NA,"39.7 (20.9, 62.1)",Female
married,45.3,25.7,66.3,Proportion,NA,"45.3 (25.7, 66.3)",Female
diagnosed_bp,67.3,41.4,85.7,Proportion,NA,"67.3 (41.4, 85.7)",Female
htn,75.2,45,91.8,Proportion,NA,"75.2 (45, 91.8)",Female
alzh_demen,1.9,0.2,19,Proportion,NA,"1.9 (0.2, 19)",Female
bmi_underweight,1.6,0.1,21.6,Proportion,NA,"1.6 (0.1, 21.6)",Female
bmi_overweight,32.4,13,60.5,Proportion,NA,"32.4 (13, 60.5)",Female
bmi_obese,39,21.4,60.1,Proportion,NA,"39 (21.4, 60.1)",Female
fall_any,41.1,24.2,60.3,Proportion,NA,"41.1 (24.2, 60.3)",Female
fall_injury,43.6,21.5,68.6,Proportion,NA,"43.6 (21.5, 68.6)",Female
fracture_hip,2.9,0.3,23.5,Proportion,NA,"2.9 (0.3, 23.5)",Female
heavydrinker,14.3,5,34.4,Proportion,NA,"14.3 (5, 34.4)",Female
vision_impairment,11.4,4.8,24.7,Proportion,NA,"11.4 (4.8, 24.7)",Female
balance_impairment,66.2,42.4,83.9,Proportion,NA,"66.2 (42.4, 83.9)",Female
medication_bp,52.8,30.3,74.3,Proportion,NA,"52.8 (30.3, 74.3)",Male
medication_dm,81,54.5,93.8,Proportion,NA,"81 (54.5, 93.8)",Male
rxdiabi,22.5,9.9,43.3,Proportion,NA,"22.5 (9.9, 43.3)",Male
rxdiabo,74.9,49.7,90,Proportion,NA,"74.9 (49.7, 90)",Male
rxlung,9.2,1.9,34.3,Proportion,NA,"9.2 (1.9, 34.3)",Male
rxasthma,9.3,2.2,31.6,Proportion,NA,"9.3 (2.2, 31.6)",Male
rxcancr,4,0.4,27.3,Proportion,NA,"4 (0.4, 27.3)",Male
rxbldthn,18,7.6,37.1,Proportion,NA,"18 (7.6, 37.1)",Male
rxhchol,38.3,18.3,63.3,Proportion,NA,"38.3 (18.3, 63.3)",Male
married,70.9,49.5,85.8,Proportion,NA,"70.9 (49.5, 85.8)",Male
diagnosed_bp,64.1,40.5,82.4,Proportion,NA,"64.1 (40.5, 82.4)",Male
htn,72.1,47.4,88.1,Proportion,NA,"72.1 (47.4, 88.1)",Male
alzh_demen,4.4,0.6,25.5,Proportion,NA,"4.4 (0.6, 25.5)",Male
bmi_underweight,0.6,0,13.8,Proportion,NA,"0.6 (0, 13.8)",Male
bmi_overweight,40.9,20.1,65.5,Proportion,NA,"40.9 (20.1, 65.5)",Male
bmi_obese,36.8,18.6,59.7,Proportion,NA,"36.8 (18.6, 59.7)",Male
fall_any,33.1,15.3,57.4,Proportion,NA,"33.1 (15.3, 57.4)",Male
fall_injury,43.6,11.7,81.9,Proportion,NA,"43.6 (11.7, 81.9)",Male
fracture_hip,0,0,0,Proportion,NA,"0 (0, 0)",Male
heavydrinker,10.8,2.8,34.3,Proportion,NA,"10.8 (2.8, 34.3)",Male
vision_impairment,15.9,5.5,37.9,Proportion,NA,"15.9 (5.5, 37.9)",Male
balance_impairment,69.9,41.9,88.2,Proportion,NA,"69.9 (41.9, 88.2)",Male
age_category,41.3,27.8,56.2,Grouped,65_74,"41.3 (27.8, 56.2)",Female
age_category,30,18.8,44.3,Grouped,75_84,"30 (18.8, 44.3)",Female
age_category,28.7,14,49.9,Grouped,85_over,"28.7 (14, 49.9)",Female
age_category,37.7,24.9,52.6,Grouped,65_74,"37.7 (24.9, 52.6)",Male
age_category,45.2,30,61.3,Grouped,75_84,"45.2 (30, 61.3)",Male
age_category,17.1,7.5,34.2,Grouped,85_over,"17.1 (7.5, 34.2)",Male
bmi_category,1.6,0.2,13.4,Grouped,Underweight,"1.6 (0.2, 13.4)",Female
bmi_category,27,15.5,42.6,Grouped,Normal,"27 (15.5, 42.6)",Female
bmi_category,32.4,16,54.6,Grouped,Overweight,"32.4 (16, 54.6)",Female
bmi_category,39,24.5,55.8,Grouped,Obese,"39 (24.5, 55.8)",Female
bmi_category,0.6,0.1,5.6,Grouped,Underweight,"0.6 (0.1, 5.6)",Male
bmi_category,21.7,12.1,35.8,Grouped,Normal,"21.7 (12.1, 35.8)",Male
bmi_category,40.9,25.6,58.2,Grouped,Overweight,"40.9 (25.6, 58.2)",Male
bmi_category,36.8,23.3,52.6,Grouped,Obese,"36.8 (23.3, 52.6)",Male
education_h,77.6,62.7,87.7,Grouped,Less than lower secondary,"77.6 (62.7, 87.7)",Female
education_h,4.4,1.1,16,Grouped,Tertiary,"4.4 (1.1, 16)",Female
education_h,18,9.3,31.9,Grouped,Upper secondary and vocational training,"18 (9.3, 31.9)",Female
education_h,50.7,35,66.4,Grouped,Less than lower secondary,"50.7 (35, 66.4)",Male
education_h,8,3.7,16.2,Grouped,Tertiary,"8 (3.7, 16.2)",Male
education_h,41.3,27.1,57.1,Grouped,Upper secondary and vocational training,"41.3 (27.1, 57.1)",Male
hh_wealthquintile,20.1,11.5,32.6,Grouped,Lowest,"20.1 (11.5, 32.6)",Female
hh_wealthquintile,34.3,19,53.7,Grouped,Low,"34.3 (19, 53.7)",Female
hh_wealthquintile,22.7,14.1,34.6,Grouped,Medium,"22.7 (14.1, 34.6)",Female
hh_wealthquintile,16.2,8.7,28.3,Grouped,High,"16.2 (8.7, 28.3)",Female
hh_wealthquintile,6.7,2.4,17.1,Grouped,Highest,"6.7 (2.4, 17.1)",Female
hh_wealthquintile,19.1,10.7,31.6,Grouped,Lowest,"19.1 (10.7, 31.6)",Male
hh_wealthquintile,19.5,11.2,32,Grouped,Low,"19.5 (11.2, 32)",Male
hh_wealthquintile,31.4,17.3,49.9,Grouped,Medium,"31.4 (17.3, 49.9)",Male
hh_wealthquintile,16,6.7,33.3,Grouped,High,"16 (6.7, 33.3)",Male
hh_wealthquintile,14,6.8,26.8,Grouped,Highest,"14 (6.8, 26.8)",Male
smoke,36.5,23.5,51.7,Grouped,Never,"36.5 (23.5, 51.7)",Female
smoke,42.4,28.4,57.7,Grouped,Former,"42.4 (28.4, 57.7)",Female
smoke,21.1,7.8,45.7,Grouped,Current,"21.1 (7.8, 45.7)",Female
smoke,23.8,11,44.1,Grouped,Never,"23.8 (11, 44.1)",Male
smoke,71.2,52.3,84.8,Grouped,Former,"71.2 (52.3, 84.8)",Male
smoke,5,1.7,13.5,Grouped,Current,"5 (1.7, 13.5)",Male
laborforce,11.1,5.2,22.1,Grouped,None,"11.1 (5.2, 22.1)",Female
laborforce,1.9,0.4,8.5,Grouped,Formal,"1.9 (0.4, 8.5)",Female
laborforce,87,75.8,93.5,Grouped,Retired,"87 (75.8, 93.5)",Female
laborforce,2.8,0.7,10.8,Grouped,None,"2.8 (0.7, 10.8)",Male
laborforce,4.1,1.3,12.6,Grouped,Formal,"4.1 (1.3, 12.6)",Male
laborforce,93.1,83.8,97.2,Grouped,Retired,"93.1 (83.8, 97.2)",Male
race,100,100,100,Grouped,White,"100 (100, 100)",Female
race,0.6,0.1,5.1,Grouped,Non-White,"0.6 (0.1, 5.1)",Male
race,99.4,94.9,99.9,Grouped,White,"99.4 (94.9, 99.9)",Male
