variable,estimate,lci,uci,type,group,est_ci,gender
education_h,34,28,40.5,Grouped,Less than lower secondary,"34 (28, 40.5)",Male
education_h,14.5,10.8,19.4,Grouped,Tertiary,"14.5 (10.8, 19.4)",Male
education_h,51.5,45.1,57.9,Grouped,Upper secondary and vocational training,"51.5 (45.1, 57.9)",Male
hh_wealthquintile,28.7,23,35.2,Grouped,Lowest,"28.7 (23, 35.2)",Female
hh_wealthquintile,25.8,20.3,32.2,Grouped,Low,"25.8 (20.3, 32.2)",Female
hh_wealthquintile,19.2,14.9,24.4,Grouped,Medium,"19.2 (14.9, 24.4)",Female
hh_wealthquintile,15.1,11.1,20.2,Grouped,High,"15.1 (11.1, 20.2)",Female
hh_wealthquintile,11.1,7.5,16.1,Grouped,Highest,"11.1 (7.5, 16.1)",Female
hh_wealthquintile,17.7,13.1,23.5,Grouped,Lowest,"17.7 (13.1, 23.5)",Male
hh_wealthquintile,19.7,15,25.3,Grouped,Low,"19.7 (15, 25.3)",Male
hh_wealthquintile,19.5,15,25,Grouped,Medium,"19.5 (15, 25)",Male
hh_wealthquintile,23,18.1,28.8,Grouped,High,"23 (18.1, 28.8)",Male
hh_wealthquintile,20.1,15.8,25.2,Grouped,Highest,"20.1 (15.8, 25.2)",Male
smoke,41.2,34.8,48,Grouped,Never,"41.2 (34.8, 48)",Female
smoke,46.9,40.3,53.7,Grouped,Former,"46.9 (40.3, 53.7)",Female
smoke,11.8,8,17.2,Grouped,Current,"11.8 (8, 17.2)",Female
smoke,21.2,16.4,26.9,Grouped,Never,"21.2 (16.4, 26.9)",Male
smoke,69.9,63.9,75.4,Grouped,Former,"69.9 (63.9, 75.4)",Male
smoke,8.9,5.9,13.2,Grouped,Current,"8.9 (5.9, 13.2)",Male
laborforce,13.4,9.1,19.2,Grouped,None,"13.4 (9.1, 19.2)",Female
laborforce,3.4,1.6,6.8,Grouped,Formal,"3.4 (1.6, 6.8)",Female
laborforce,83.3,77.2,88,Grouped,Retired,"83.3 (77.2, 88)",Female
laborforce,3.7,1.9,7,Grouped,None,"3.7 (1.9, 7)",Male
laborforce,7.2,4.8,10.7,Grouped,Formal,"7.2 (4.8, 10.7)",Male
laborforce,89.1,84.8,92.3,Grouped,Retired,"89.1 (84.8, 92.3)",Male
race,4.5,2.2,9,Grouped,Non-White,"4.5 (2.2, 9)",Female
race,95.5,91,97.8,Grouped,White,"95.5 (91, 97.8)",Female
race,5.8,3.3,9.8,Grouped,Non-White,"5.8 (3.3, 9.8)",Male
race,94.2,90.2,96.7,Grouped,White,"94.2 (90.2, 96.7)",Male
