variable,group,HRS_Total,HRS_Male,HRS_Female,ELSA_Total,ELSA_Male,ELSA_Female
fall_injury,NA,"27.7 (24.7, 31.1)","19.6 (16.3, 23.5)","34.6 (29.5, 40.1)","29.9 (22.8, 38.2)","15.7 (8.3, 27.8)","40.2 (29.3, 52.2)"
fracture_hip,NA,"2.2 (1.6, 3)","1.6 (0.9, 2.6)","2.8 (2, 3.8)","0.8 (0.3, 2.5)","0.2 (0, 1.4)","1.5 (0.4, 4.9)"
fu_fall_any,NA,"39.2 (36.6, 41.8)","37.4 (34.3, 40.6)","40.8 (37.6, 44.1)","36.2 (32, 40.6)","32.3 (26.5, 38.7)","40 (33.5, 46.8)"
fu_fall_injury,NA,"31.1 (27.8, 34.6)","23.3 (18.6, 28.7)","37.6 (33.3, 42.1)","35.2 (27.5, 43.7)","24.6 (15, 37.7)","43.7 (32.7, 55.3)"
fu_fracture_hip,NA,"2.8 (2.2, 3.6)","2.1 (1.4, 3.2)","3.5 (2.7, 4.5)","0.3 (0.1, 1.2)","0.3 (0.1, 1.3)","0.4 (0, 2.7)"
heavydrinker,NA,"6.7 (5.7, 7.8)","8.8 (7.2, 10.9)","4.7 (3.5, 6.2)","14.8 (11.7, 18.5)","19.1 (14.1, 25.2)","10.3 (6.7, 15.6)"
vision_impairment,NA,"11.1 (9.6, 12.9)","9.5 (7.6, 11.9)","12.6 (10.6, 14.9)","7.5 (5.3, 10.4)","6.5 (4, 10.5)","8.4 (5.1, 13.7)"
balance_impairment,NA,"39.1 (36.8, 41.4)","41.1 (37.8, 44.6)","37 (33.7, 40.3)","69.4 (64.3, 74.1)","76 (69.4, 81.5)","60.7 (51.6, 69.1)"
married,NA,"59.7 (57.6, 61.8)","75.3 (72.2, 78)","45.6 (42.7, 48.5)","59.9 (55.5, 64.2)","73.7 (67.7, 79)","46.3 (39.5, 53.2)"
age_category,65_74,"68.2 (66.2, 70.1)","69.2 (66.2, 72)","67.3 (64.6, 69.9)","61.8 (57.4, 66.1)","68.8 (62.6, 74.4)","54.9 (48.2, 61.5)"
age_category,75_84,"25.5 (23.7, 27.5)","25.6 (23, 28.4)","25.4 (22.8, 28.2)","33.1 (29.1, 37.4)","27.3 (22.1, 33.3)","38.9 (32.5, 45.6)"
age_category,85_over,"6.3 (5.3, 7.5)","5.2 (4, 6.9)","7.3 (5.9, 8.9)","5 (3.2, 7.8)","3.9 (2, 7.3)","6.2 (3.3, 11.3)"
bmi_category,Underweight,"0.3 (0.1, 0.6)","0 (0, 0.2)","0.5 (0.2, 1.2)","0.5 (0.1, 2)","0.5 (0.1, 3.3)","0.6 (0.1, 3.9)"
bmi_category,Normal,"10.9 (9.5, 12.5)","9.5 (7.9, 11.4)","12.2 (10.2, 14.6)","11.4 (8.9, 14.5)","12.5 (8.6, 17.6)","10.4 (7.1, 14.9)"
bmi_category,Overweight,"30.1 (27.7, 32.6)","32.7 (29.6, 35.9)","27.8 (25.1, 30.7)","39.7 (35.4, 44.3)","42.4 (36, 48.9)","37.1 (30.5, 44.1)"
bmi_category,Obese,"58.7 (56.5, 60.8)","57.8 (55.1, 60.5)","59.5 (56.4, 62.4)","48.3 (43.8, 52.8)","44.7 (38.3, 51.3)","52 (45.1, 58.8)"
education_h,Less than lower secondary,"23.2 (20.8, 25.8)","19.1 (16.8, 21.7)","26.9 (23.8, 30.2)","50.7 (46, 55.3)","34 (28, 40.5)","68.3 (61.6, 74.2)"
education_h,Tertiary,"19.4 (17.3, 21.7)","26.2 (23.2, 29.4)","13.2 (10.9, 16)","9.4 (7.3, 12.2)","14.5 (10.8, 19.4)","4.1 (2.2, 7.4)"
education_h,Upper secondary and vocational training,"57.4 (54.9, 59.9)","54.7 (51.8, 57.5)","59.9 (56.3, 63.4)","39.9 (35.5, 44.4)","51.5 (45.1, 57.9)","27.7 (22.1, 34)"
hh_wealthquintile,Lowest,"22.9 (20.7, 25.4)","17 (14.7, 19.6)","29.9 (26.3, 33.7)","23.3 (19.6, 27.4)","17.7 (13.1, 23.5)","28.7 (23, 35.2)"
hh_wealthquintile,Low,"24.6 (21.8, 27.6)","24.4 (21.1, 27.9)","24.9 (21.4, 28.8)","22.8 (19.2, 26.8)","19.7 (15, 25.3)","25.8 (20.3, 32.2)"
hh_wealthquintile,Medium,"19.9 (18, 21.9)","19.8 (17.3, 22.7)","19.9 (16.9, 23.3)","19.4 (16.3, 22.9)","19.5 (15, 25)","19.2 (14.9, 24.4)"
hh_wealthquintile,High,"17.4 (15.7, 19.4)","20.3 (17.9, 23)","14 (11.6, 16.8)","19 (15.8, 22.7)","23 (18.1, 28.8)","15.1 (11.1, 20.2)"
hh_wealthquintile,Highest,"15.1 (13.1, 17.4)","18.4 (15.5, 21.8)","11.3 (9.1, 13.8)","15.6 (12.8, 18.8)","20.1 (15.8, 25.2)","11.1 (7.5, 16.1)"
smoke,Never,"42.6 (40.2, 45.1)","31.7 (29, 34.6)","52.5 (49.4, 55.7)","31.3 (27.3, 35.5)","21.2 (16.4, 26.9)","41.2 (34.8, 48)"
smoke,Former,"48.8 (46.3, 51.3)","59.9 (56.5, 63.3)","38.7 (36, 41.5)","58.4 (53.9, 62.7)","69.9 (63.9, 75.4)","46.9 (40.3, 53.7)"
smoke,Current,"8.5 (7.1, 10.2)","8.3 (6.6, 10.6)","8.7 (7.1, 10.7)","10.4 (7.8, 13.6)","8.9 (5.9, 13.2)","11.8 (8, 17.2)"
laborforce,employed,"10.6 (9.2, 12.3)","14.7 (12.2, 17.8)","6.9 (5.5, 8.5)",NA,NA,NA
laborforce,other,"6.8 (5.6, 8.3)","1.9 (1.2, 3)","11.3 (9.1, 13.9)",NA,NA,NA
laborforce,retired,"82.6 (80.6, 84.4)","83.3 (80.5, 85.8)","81.9 (78.8, 84.6)",NA,NA,NA
raceeth,Hispanic,"10.6 (7.9, 14.1)","8.2 (5.7, 11.7)","12.8 (9.6, 16.8)",NA,NA,NA
raceeth,NH Black,"12.4 (11, 13.8)","9.6 (7.9, 11.5)","14.9 (13.3, 16.6)",NA,NA,NA
raceeth,NH Other,"3.1 (2.2, 4.4)","3.1 (2, 4.7)","3.1 (2, 4.8)",NA,NA,NA
raceeth,NH White,"74 (70, 77.5)","79.1 (75, 82.8)","69.3 (65.2, 73)",NA,NA,NA
race,1,"81.6 (79.4, 83.6)","85.4 (82.7, 87.7)","78.3 (75.6, 80.7)",NA,NA,NA
race,2,"12.5 (11.2, 14)","9.6 (8, 11.6)","15.1 (13.4, 16.9)",NA,NA,NA
race,3,"5.9 (4.6, 7.4)","5 (3.6, 6.9)","6.7 (5.1, 8.7)",NA,NA,NA
ethnicity,0,"89.4 (85.9, 92.1)","91.8 (88.3, 94.3)","87.2 (83.2, 90.4)",NA,NA,NA
ethnicity,1,"10.6 (7.9, 14.1)","8.2 (5.7, 11.7)","12.8 (9.6, 16.8)",NA,NA,NA
trig,NA,NA,NA,NA,"162.4 (156.1, 168.6)","161.2 (152, 170.4)","163.5 (154.4, 172.7)"
ldl,NA,NA,NA,NA,"88.7 (85.8, 91.6)","87.1 (82.9, 91.2)","90.3 (86, 94.5)"
rxasthma,NA,NA,NA,NA,"11.3 (8.7, 14.5)","10 (6.6, 14.9)","12.5 (8.7, 17.5)"
rxbldthn,NA,NA,NA,NA,"19.3 (16.1, 22.9)","23.2 (18.4, 28.8)","15.4 (11.1, 20.9)"
rxhchol,NA,NA,NA,NA,"40.7 (36.6, 44.9)","38.1 (32.1, 44.4)","43.2 (37.1, 49.6)"
laborforce,None,NA,NA,NA,"8.5 (6.1, 11.7)","3.7 (1.9, 7)","13.4 (9.1, 19.2)"
laborforce,Formal,NA,NA,NA,"5.3 (3.7, 7.4)","7.2 (4.8, 10.7)","3.4 (1.6, 6.8)"
laborforce,Retired,NA,NA,NA,"86.2 (82.7, 89.1)","89.1 (84.8, 92.3)","83.3 (77.2, 88)"
race,Non-White,NA,NA,NA,"5.1 (3.3, 7.9)","5.8 (3.3, 9.8)","4.5 (2.2, 9)"
race,White,NA,NA,NA,"94.9 (92.1, 96.7)","94.2 (90.2, 96.7)","95.5 (91, 97.8)"
